brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,vehicle_age,price_per_mile,is_luxury,high_mileage,age_group
Lexus,LX 570 Base,2016,118700,Gasoline,383.0,8-Speed A/T,Black,Beige,None reported,Yes,46900,10,0.39511040345068704,1,1,Moderate
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0,A/T,Red,Black,None reported,Yes,15900,9,0.1336123225855245,0,1,Moderate
BMW,340 i,2018,44261,Gasoline,3.0,Automatic,Gray,Black,None reported,Yes,33598,8,0.7590709863991686,1,0,Moderate
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0,8-Speed A/T,Silver,Black,None reported,Yes,8999,14,0.07166178250621137,1,1,Old
Hyundai,Tucson SE,2007,16200,Gasoline,173.0,A/T,Gold,Beige,None reported,Yes,8200,19,0.5061415961977656,0,0,Old
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000,12,0.28571020413994086,1,0,Old
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0,6-Speed A/T,Black,Black,None reported,Yes,79950,15,3.9577248651056878,1,0,Old
Honda,Passport Elite,2023,2978,Gasoline,3.5,Automatic,Lunar Silver Metallic,Gray,None reported,Yes,45498,3,15.272910372608258,0,0,New
Dodge,Sprinter 2500,2007,189719,Diesel,3.0,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000,19,0.07379295804343243,0,1,Old
BMW,M850 i xDrive,2019,9949,Gasoline,4.4,Automatic,Blue,Black,None reported,Yes,75798,7,7.617889447236181,1,0,Moderate
Audi,A7 Premium,2012,54000,Gasoline,310.0,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,14,0.6829503157348938,1,0,Old
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3,Automatic,Black,Jet Black,None reported,Yes,43147,5,0.8402204393207665,0,0,New
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,9,1.1943494913718546,0,0,Moderate
Toyota,Avalon Touring,2016,89148,Gasoline,268.0,A/T,Black,Black,None reported,Yes,17500,10,0.19630057544111543,0,0,Moderate
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0,8-Speed A/T,White,Black,None reported,Yes,30990,9,0.4242648266798094,1,0,Moderate
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500,9,0.8749854169097182,1,0,Moderate
Honda,CR-V EX-L,2016,73549,Gasoline,2.4,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Yes,20848,10,0.28345343303874915,0,0,Moderate
Hummer,H2 Base,2005,110900,Gasoline,325.0,A/T,Gray,Black,None reported,Yes,19500,21,0.17583249925609326,0,1,Very Old
Porsche,911 Carrera S,2013,39000,Gasoline,400.0,7-Speed A/T,Blue,Black,None reported,Yes,73000,13,1.8717468782851723,1,0,Old
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800,10,0.16499862501145823,1,1,Moderate
Chrysler,300 Touring,2009,134602,Gasoline,250.0,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500,17,0.05571941190018053,0,1,Old
Nissan,Rogue SV,2023,1094,Gasoline,1.5,Automatic CVT,Caspian Blue,Light Gray,None reported,Yes,30999,3,28.30958904109589,0,0,New
Audi,A3 2.0T,2010,83500,Gasoline,200.0,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500,16,0.07784337912120813,1,0,Old
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0,6-Speed M/T,Black,Black,None reported,Yes,28500,12,0.7690024554113488,0,0,Old
Acura,RL Technology,2010,97700,Gasoline,300.0,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995,16,0.11253723093929438,0,0,Old
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000,8,1.0499737506562337,0,0,Moderate
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000,12,0.05376315181101177,1,1,Old
Toyota,C-HR LE,2021,13180,Gasoline,2.0,CVT-F,–,–,None reported,Yes,23998,5,1.8206509369547075,0,0,New
Lexus,IS 350 Base,2014,104000,Gasoline,306.0,8-Speed A/T,Black,Black,None reported,Yes,21000,12,0.20192113537369832,1,1,Old
BMW,X4 M40i,2023,8500,Hybrid,382.0,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900,3,7.987295612280908,1,0,New
BMW,M4 CS,2019,19069,Gasoline,3.0,Automatic,Alpine White,Anthracite,None reported,Yes,69998,7,3.670582066072365,1,0,Moderate
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0,A/T,White,Beige,None reported,Yes,46900,3,7.699885076342144,0,0,New
Lucid,Air Grand Touring,2022,4900,Gasoline,536.0,1-Speed A/T,Red,Black,None reported,Yes,99000,4,20.199959192001632,0,0,New
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000,7,0.652301994781584,1,0,Moderate
Chrysler,300C SRT8,2006,43000,Gasoline,425.0,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995,20,0.4649891862979931,0,0,Old
BMW,M4 Base,2019,57800,Gasoline,425.0,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999,7,0.9688240687877372,1,0,Moderate
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0,6-Speed M/T,Silver,Gray,None reported,Yes,49950,3,52.41343126967471,0,0,New
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950,7,2.8223718280683583,1,0,Moderate
Porsche,Cayenne Base,2019,59338,Gasoline,335.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499,7,0.7162068791182865,1,0,Moderate
Maserati,Quattroporte S,2019,23230,Gasoline,424.0,8-Speed A/T,Black,Black,None reported,Yes,44999,7,1.937023804399294,1,0,Moderate
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000,9,0.6249869794379284,1,0,Moderate
Lexus,ES 330 Base,2005,41059,Gasoline,225.0,5-Speed A/T,White,Beige,None reported,Yes,11100,21,0.2703360935216756,1,0,Very Old
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,2.0,Automatic,White,Black,None reported,Yes,37998,6,1.788898827738807,1,0,Moderate
Porsche,Cayman GTS,2015,11500,Gasoline,340.0,7-Speed A/T,Silver,–,None reported,Yes,72000,11,6.26032518911399,1,0,Old
Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0,8-Speed A/T,Silver,Blue,None reported,Yes,53950,5,5.42156567179178,0,0,New
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,315.0,6-Speed M/T,White,Black,None reported,Yes,47999,3,75.70820189274448,0,0,New
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900,11,0.24090544082665413,0,0,Old
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,560.0,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000,12,0.7535668832473709,1,0,Old
BMW,740 Li,2012,85252,Gasoline,326.0,6-Speed A/T,Black,Black,None reported,Yes,18500,14,0.2170011612494575,1,0,Old
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000,6,4.469024076867214,1,0,Moderate
BMW,M6 Base,2016,25500,Gasoline,560.0,7-Speed A/T,White,Black,None reported,Yes,55000,10,2.1567781655621348,1,0,Moderate
Hyundai,Elantra N Base,2023,3800,Gasoline,276.0,6-Speed M/T,White,Black,None reported,Yes,34000,3,8.945014469876348,0,0,New
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,31995,4,0.8741086796164249,0,0,New
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900,8,0.9060331505105906,1,0,Moderate
BMW,435 Gran Coupe i,2016,76009,Gasoline,300.0,8-Speed A/T,White,Beige,None reported,Yes,24950,10,0.32824628338376527,1,0,Moderate
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Yes,39366,6,1.2556937799043062,0,0,Moderate
Lexus,RC 350 Base,2015,48000,Gasoline,306.0,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900,11,0.6854023874502615,1,0,Old
BMW,525 i,2005,91420,Gasoline,215.0,6-Speed A/T,Black,Black,None reported,Yes,8900,21,0.09735181194692685,1,0,Very Old
Toyota,Corolla LE,2003,124756,Gasoline,130.0,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995,23,0.040037833548418125,0,1,Very Old
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0,6-Speed A/T,Black,Black,None reported,Yes,7900,14,0.06797043716176103,0,1,Old
Lexus,LC 500 Base,2020,37869,Gasoline,5.0,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,Yes,75950,6,2.0055452865064693,1,0,Moderate
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000,7,2.072239223151249,1,0,Moderate
Lexus,ES 300h Base,2013,87001,Hybrid,200.0,CVT Transmission,Gold,Beige,None reported,Yes,17995,13,0.20683432564768625,1,0,Old
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655,4,12.501123090745732,0,0,New
BMW,540 i xDrive,2020,27158,Gasoline,2.0,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Yes,39998,6,1.4727346367686587,1,0,Moderate
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500,12,0.10371588998962841,0,1,Old
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0,A/T,Green,Black,None reported,Yes,47500,4,1.7398630086810007,0,0,New
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000,12,0.7334365577377557,1,0,Old
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000,10,0.12499913195047256,1,1,Moderate
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0,9-Speed A/T,Blue,White,None reported,Yes,28900,7,0.6494236084582369,0,0,Moderate
BMW,750 750i xDrive,2021,10917,Gasoline,4.4,Automatic,Black,Black,None reported,Yes,73998,5,6.777614947792636,1,0,New
Bentley,Arnage R,2005,8332,Gasoline,400.0,4-Speed A/T,White,Beige,None reported,Yes,47350,21,5.682227289091563,1,0,Very Old
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Yes,47698,6,0.930729004058695,0,0,Moderate
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500,10,0.5289778409008565,1,0,Moderate
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662,5,0.22093550241823653,0,1,New
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0,A/T,White,Black,At least 1 accident or damage reported,Yes,6600,13,0.06285654422338835,0,1,Old
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995,15,0.10840093705262245,1,0,Old
Nissan,GT-R Premium,2010,15600,Gasoline,485.0,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500,16,4.454842638292417,0,0,Old
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,6.0,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Yes,30775,8,0.2939322451552516,1,1,Moderate
Toyota,Corolla LE,2010,72348,Gasoline,132.0,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995,16,0.13814980165586255,0,0,Old
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0,Automatic,White,Silk Beige/Black,None reported,Yes,44798,4,3.399453634845955,1,0,New
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000,10,0.2395808376996073,1,0,Moderate
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,22495,15,0.2418557144393076,0,0,Old
INFINITI,Q70h Base,2016,52750,Hybrid,360.0,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998,10,0.549714697351709,0,0,Moderate
Audi,A7 Premium Plus,2020,25361,Hybrid,3.0,Automatic,Typhoon Gray,Black,None reported,Yes,49998,6,1.9713744972793943,1,0,Moderate
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,280.0,8-Speed A/T,Black,Black,None reported,Yes,9995,11,0.10144324455992206,1,0,Old
Lucid,Air Pure,2023,1300,Gasoline,620.0,A/T,Black,Gray,None reported,Yes,86900,3,66.79477325134512,0,0,New
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,265.0,6-Speed A/T,White,Black,None reported,Yes,25999,14,0.35652674739108375,1,0,Old
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,445.0,8-Speed A/T,Black,Black,None reported,Yes,30000,11,0.7316894709885124,1,0,Old
Subaru,Forester Premium,2021,42125,Gasoline,2.5,Automatic CVT,Crystal Black Silica,Black,None reported,Yes,27899,5,0.6622750795233348,0,0,New
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,469.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000,10,0.6451508846631506,1,0,Moderate
Land,Rover LR3 HSE,2006,153843,Gasoline,300.0,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,9950,20,0.06467590546267647,1,1,Old
BMW,X7 xDrive40i,2019,35248,Gasoline,3.0,Automatic,Arctic Gray Metallic,Black,None reported,Yes,53998,7,1.5319016142301909,1,0,Moderate
Ford,Transit Connect XLT,2015,194454,Gasoline,169.0,6-Speed A/T,White,Black,None reported,Yes,9888,11,0.05084981101025944,0,1,Old
Lexus,LX 570 Three-Row,2021,21000,Gasoline,383.0,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999,5,4.2854625970191895,1,0,New
Porsche,911 Carrera S,2013,18494,Gasoline,400.0,7-Speed M/T,Black,Black,None reported,Yes,86900,13,4.698567180319005,1,0,Old
Nissan,Armada SL,2021,67800,Gasoline,400.0,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500,5,0.5383401424757747,0,0,New
Porsche,Cayman Base,2014,79000,Gasoline,275.0,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,42999,12,0.5442842495664612,1,0,Old
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,3.0,Automatic,Selenite Grey Metallic,Black,None reported,Yes,63998,4,2.569478459870719,1,0,New
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,303.0,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000,20,0.17953052767014258,0,0,Old
BMW,M5 Base,2013,86000,Gasoline,560.0,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000,13,0.37208869664306227,1,0,Old
Hyundai,Kona N Base,2023,654,Gasoline,2.0,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,34599,3,52.82290076335878,0,0,New
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,240.0,A/T,Black,Black,None reported,Yes,12500,21,0.1666644444740737,0,0,Very Old
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,240.0,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800,11,0.27142534017452175,1,0,Old
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,450.0,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999,9,0.7618712024532867,1,0,Moderate
GMC,Acadia SLT-1,2011,120000,Gasoline,288.0,6-Speed A/T,Silver,Gray,None reported,Yes,7500,15,0.06249947917100691,0,1,Old
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,2.0,8-Speed Automatic,Lunare White Metallic,Ice,None reported,Yes,35645,6,1.9096217722061501,0,0,Moderate
Kia,K900 5.0L,2017,36486,Gasoline,420.0,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950,9,0.6563981692109518,0,0,Moderate
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0,4-Speed A/T,Black,Gray,None reported,Yes,12500,13,0.07711241756682562,0,1,Old
Tesla,Model 3 Performance,2022,13079,Gasoline,455.0,A/T,Black,White,None reported,Yes,47000,4,3.5932721712538225,1,0,New
Toyota,4Runner SR5,2022,28377,Gasoline,4.0,5-Speed Automatic,Silver,Gray,None reported,Yes,36999,4,1.3037916696032137,0,0,New
Subaru,Forester Base,2020,32744,Gasoline,182.0,CVT Transmission,Black,Gray,None reported,Yes,24000,6,0.7329363261566652,0,0,Moderate
Porsche,Panamera 2,2012,54000,Gasoline,300.0,A/T,White,–,At least 1 accident or damage reported,Yes,26000,14,0.48147256532286437,1,0,Old
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,8500,18,0.0420675456309142,0,1,Old
RAM,2500 Laramie,2019,65000,Diesel,370.0,6-Speed A/T,Black,Black,None reported,Yes,65000,7,0.9999846156212981,0,0,Moderate
Kia,Sportage Nightfall,2022,9686,Gasoline,2.4,6-Speed Automatic,Hyper Red,Black,None reported,Yes,30990,4,3.1991328584701146,0,0,New
Cadillac,DTS Base,2010,49620,Gasoline,275.0,A/T,White,Gray,None reported,Yes,10499,16,0.21158380524374762,0,0,Old
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,2.4,8-SPEED AT,Black,Black,None reported,Yes,51998,3,63.33495736906212,1,0,New
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,248.0,8-Speed A/T,Blue,Black,None reported,Yes,36499,5,0.5367421067337245,1,0,New
Lexus,LX 470 Base,1999,82000,Gasoline,230.0,A/T,White,Beige,None reported,Yes,25000,27,0.3048743308008439,1,0,Very Old
GMC,Terrain SLE,2022,27352,Gasoline,1.5,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,27785,4,1.0157935144225496,0,0,New
Ford,Escape Limited,2012,129000,Gasoline,171.0,A/T,White,Gray,At least 1 accident or damage reported,Yes,7000,14,0.05426314524693607,0,1,Old
Lexus,LS 460 L,2014,106731,Gasoline,360.0,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,30000,12,0.28107783982310836,1,1,Old
Ford,Expedition Platinum,2019,34672,Gasoline,400.0,10-Speed A/T,White,White,None reported,Yes,45500,7,1.3122602601447813,0,0,Moderate
Chevrolet,Malibu LTZ,2010,55900,Gasoline,252.0,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,8950,16,0.16010447040303394,0,0,Old
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,220.0,8-Speed A/T,White,Brown,None reported,Yes,17000,11,0.20731454494457385,1,0,Old
Genesis,G70 2.0T,2023,4785,Gasoline,2.0,Automatic,Vik Black,Obsidian Black,None reported,Yes,42850,3,8.953196824070204,0,0,New
Chevrolet,Trailblazer LS,2021,20497,Gasoline,1.3,9-Speed Automatic,Pacific Blue Metallic,Black,None reported,Yes,22999,5,1.1220119036003513,0,0,New
Scion,tC Base,2013,177600,Gasoline,180.0,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,7100,13,0.0399772523803357,0,1,Old
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,188.0,A/T,Blue,Beige,None reported,Yes,15500,12,0.19727882498186308,0,0,Old
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,275.0,A/T,White,Gray,None reported,Yes,43000,8,0.4526268144545847,0,0,Moderate
Ford,Explorer Timberline,2021,25240,Gasoline,2.3,10-Speed Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,39951,5,1.5827819816964463,0,0,New
Volvo,XC90 3.2,2011,88300,Gasoline,235.0,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500,15,0.13023635066420539,0,0,Old
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,320.0,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,27499,13,0.28059917755941266,0,0,Old
Audi,TT RS 2.5T,2018,20675,Gasoline,400.0,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,76000,8,3.6757593344940993,1,0,Moderate
Lincoln,Navigator L,2008,95000,Gasoline,300.0,A/T,Black,Black,None reported,Yes,10900,18,0.11473563436174355,0,0,Old
Hyundai,Elantra GLS,2010,107000,Gasoline,138.0,4-Speed A/T,Blue,Blue,At least 1 accident or damage reported,Yes,6250,16,0.05841066905916767,0,1,Old
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,354.0,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,24700,10,0.4116598056699055,1,0,Moderate
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,291.0,5-Speed M/T,Black,Black,None reported,Yes,34999,14,1.0605436198903064,0,0,Old
Tesla,Model Y Performance,2023,500,Gasoline,455.0,1-Speed A/T,Black,White,None reported,Yes,60000,3,119.76047904191617,1,0,New
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,523.0,7-Speed A/T,White,Beige,None reported,Yes,63500,10,0.5852480622298412,1,1,Moderate
Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,Gasoline,4.7,Automatic,Obsidian Black Metallic,Gray,None reported,Yes,44798,8,0.6019375730620911,1,0,Moderate
Chevrolet,Blazer Premier,2019,55621,Gasoline,3.6,9-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,Yes,34562,7,0.6213728380856496,0,0,Moderate
